,Number of Parts,Number of Total Elements,Number of Versions,Number of Workspaces,Parts Missing Mass,application/step,application/stl,onshape-app/com.onshape.api-explorer,onshape-app/drawing,onshape-app/materials,onshape/assembly,onshape/billofmaterials,onshape/featurestudio,onshape/partstudio,newSketch,extrude,revolve,sweep,cPlane,loft,thicken,enclose,fillet,chamfer,draft,rib,shell,hole,linearPattern,circularPattern,curvePattern,mirror,booleanBodies,splitPart,transform,wrap,deleteBodies,modifyFillet,deleteFace,moveFace,replaceFace,offsetSurface,fill,extendSurface,helix,fitSpline,projectCurves,bridgingCurve,compositeCurve,mateConnector,importDerived,assignVariable,compositePart,sheetMetalStart,sheetMetalFlange,sheetMetalHem,sheetMetalTab,sheetMetalMakeJoint,sheetMetalCorner,sheetMetalBendRelief,sheetMetalJoint,sheetMetalEnd,importForeign,MATE_CONNECTOR,FASTENED,REVOLUTE,SLIDER,PLANAR,CYLINDRICAL,PIN_SLOT,BALL,PARALLEL,TANGENT,MATE_GROUP,GEAR,RACK_AND_PINION,SCREW,LINEAR_MATE,LINEAR_PATTERN,CIRCULAR_PATTERN,UNACCOUNTED_ASY_FEATURE,EXPLODED_VIEW,Number of Assembly Features,asm_unique_parts,asm_total_instances,asm_linked_parts,asm_sub_asms,surfaceText,application/x_b,onshape-app/de.cadenas.partcommunity,Number of Parts Features,BETWEEN_ENTITIES,image/jpeg,image/png,application/dwg,application/dwt,application/dxf,application/pdf,application/vnd.oasis.opendocument.spreadsheet,autolayout,hoseRouting,video/mp4,application/sldprt,application/x_t,application/iges,onshape-app/com.solidpartners.catalog,onshape-app/io.clara.visualizer,onshape-app/net.3dexchange.onshape,Unnamed: 109,application/octet-stream,text/plain,Unnamed: 112,Unnamed: 113,Beam,myFeature,bender,fixPCB,kicadImport,measureValue,onshape-app/com.onerender.app
58235f06ec5f9e10edc676dc,16,10,2,1,16,0,0,0,1,0,1,0,0,8,114,90,0,0,15,0,0,0,35,17,0,0,1,22,0,0,0,1,1,1,8,0,1,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,54,212,47,2,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cae5cbc3fdc9a4fc804ae43,1247,92,91,1,169,0,0,0,0,0,45,0,0,16,1018,855,127,12,383,32,262,11,390,191,79,0,74,0,6,147,16,257,587,320,239,8,201,9,161,346,532,5,33,0,0,18,7,0,4,147,39,5,7,5,3,0,0,0,0,0,0,3,0,13,76,38,12,0,12,1,8,0,0,65,10,0,0,7,0,0,0,0,256,2883,736,0,151,,,,6539,14,7,24,,,,,,,,,,,,,,,,,,,,,,,,,,
8bf644a3219f4fde6ebff7f0,214,16,1,1,214,0,0,0,1,0,3,2,0,8,128,79,1,2,26,2,0,0,0,0,0,0,0,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,560,208,0,2,,,,270,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
57e3f5c529d2af11276b1529,136,110,4,1,131,0,0,0,2,0,30,0,0,77,287,255,53,23,45,6,0,0,10,42,1,0,5,0,0,20,0,1,39,2,109,0,3,0,2,36,0,0,0,0,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119,38,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,169,233,280,0,41,,,,948,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
17ec646d6f096340dfb2d2d8,24,18,2,1,23,0,0,0,0,0,1,0,0,17,114,121,1,7,27,44,0,0,57,15,0,0,4,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,15,2,0,,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c906a6bdcf50136ee9dbb9e1,7996,713,129,2,3000,17,0,0,145,0,91,35,0,363,1736,1164,60,81,232,5,2,2,227,181,0,0,0,457,22,49,0,47,74,65,472,0,180,0,0,145,0,0,0,0,8,0,0,0,0,148,82,0,0,17,9,0,0,0,0,0,1,7,339,30,792,18,75,15,10,0,0,0,0,213,0,0,0,0,0,6,0,0,1159,6455,5339,282,176,,,,5832,,,1,,,,59,1,5,15,1,,,,,,,,,,,,,,,,,,
fcf961725414128468eeaacc,19,2,1,1,18,0,0,0,0,0,1,0,0,1,14,9,0,2,6,1,1,0,6,7,1,0,2,0,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1cc23b444079dee199ef2bf,0,5,2,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,5,6,14,17,0,0,6,0,0,0,0,0,0,0,0,0,0,106,50,76,50,0,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c0d79303396481a1e659191,206,24,2,1,324,1,0,0,1,0,5,0,0,10,11,14,0,0,0,0,0,0,4,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,6,4,11,9,0,5,0,0,0,0,0,0,1,0,0,0,6,0,0,0,36,20,40,0,4,,,,50,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
0aa06fa9e7e4141ed09bb161,74,79,1,1,74,24,0,0,0,0,18,0,0,34,12,24,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,97,25,0,0,1,0,2,0,0,0,0,0,0,0,0,126,282,126,147,48,,,,68,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
